Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2018,1,1,0,0,16,0,0,0,0,6.4,0,0,0,0,0.26,52.85,120,0.04,1014,0.9,33,2.3000000000000003
2018,1,1,0,15,15.9,0,0,0,0,6.4,0,0,0,0,0.259,53.24,116.69,0.04,1015,0.9,36,2.3000000000000003
2018,1,1,0,30,15.9,0,0,0,0,6.4,0,0,0,0,0.259,53.24,113.4,0.04,1015,0.9,38,2.2
2018,1,1,0,45,15.8,0,0,0,0,5.4,0,0,0,0,0.259,50.03,110.13,0.04,1015,0.8,41,2.2
2018,1,1,1,0,15.700000000000001,0,0,0,0,5.4,0,0,0,0,0.259,50.35,106.88,0.04,1015,0.8,44,2.2
2018,1,1,1,15,15.700000000000001,0,0,0,0,5.4,0,0,0,0,0.259,50.35,103.65,0.04,1015,0.8,47,2.2
2018,1,1,1,30,15.700000000000001,0,0,0,0,5.4,0,0,0,0,0.259,50.35,100.45,0.04,1015,0.8,50,2.2
2018,1,1,1,45,15.700000000000001,0,0,0,0,4.6000000000000005,0,0,0,0,0.258,47.45,97.28,0.04,1016,0.8,53,2.1
2018,1,1,2,0,15.700000000000001,0,0,0,0,4.6000000000000005,0,0,0,0,0.258,47.45,94.14,0.04,1016,0.8,56,2.1
2018,1,1,2,15,16.2,0,0,0,0,4.6000000000000005,0,0,0,0,0.259,45.97,91.03,0.04,1016,0.8,59,2.2
2018,1,1,2,30,16.6,14,78,17,0,4.6000000000000005,14,78,0,17,0.259,44.81,87.69,0.04,1016,0.8,63,2.2
2018,1,1,2,45,17.1,33,197,51,0,3.8000000000000003,33,197,0,51,0.259,41.28,84.78,0.04,1016,0.8,66,2.2
2018,1,1,3,0,17.5,50,307,94,0,3.8000000000000003,50,307,0,94,0.259,40.25,81.85000000000001,0.04,1016,0.8,70,2.3000000000000003
2018,1,1,3,15,18,64,398,140,0,3.8000000000000003,64,398,0,140,0.259,39.01,78.96000000000001,0.04,1016,0.8,73,2.2
2018,1,1,3,30,18.400000000000002,76,473,190,0,3.9000000000000004,76,473,0,190,0.259,38.08,76.11,0.04,1017,0.8,77,2.2
2018,1,1,3,45,18.8,87,540,242,0,3,87,540,0,242,0.26,34.88,73.32000000000001,0.04,1017,0.7000000000000001,80,2.1
2018,1,1,4,0,19.200000000000003,96,592,292,2,3,136,78,0,161,0.26,34.02,70.61,0.04,1017,0.7000000000000001,84,2.1
2018,1,1,4,15,19.8,103,636,342,2,3,159,133,0,208,0.26,32.78,67.98,0.04,1017,0.7000000000000001,89,2
2018,1,1,4,30,20.400000000000002,110,672,389,2,3,179,163,0,247,0.26,31.59,65.44,0.04,1017,0.7000000000000001,94,1.8
2018,1,1,4,45,21,115,704,435,2,1.7000000000000002,198,188,0,283,0.261,27.89,63.01,0.04,1017,0.7000000000000001,99,1.7000000000000002
2018,1,1,5,0,21.700000000000003,120,730,478,1,1.7000000000000002,120,730,0,478,0.261,26.73,60.7,0.04,1017,0.7000000000000001,104,1.6
2018,1,1,5,15,22,125,753,519,1,1.7000000000000002,125,753,0,519,0.261,26.22,58.52,0.04,1016,0.7000000000000001,110,1.4000000000000001
2018,1,1,5,30,22.400000000000002,129,772,555,1,1.7000000000000002,129,772,0,555,0.261,25.59,56.49,0.04,1016,0.7000000000000001,116,1.3
2018,1,1,5,45,22.8,120,825,597,1,1.1,120,825,0,597,0.262,23.88,54.63,0.04,1016,0.7000000000000001,122,1.2000000000000002
2018,1,1,6,0,23.200000000000003,122,837,626,1,1.1,122,837,0,626,0.262,23.31,52.95,0.04,1016,0.7000000000000001,128,1.1
2018,1,1,6,15,23.400000000000002,124,848,652,0,1.1,124,848,0,652,0.262,23.03,51.47,0.04,1016,0.7000000000000001,142,1
