Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2017,1,1,0,0,18.1,0,0,0,0,12,0,0,0,0,0.241,67.69,120.01,0.04,1015,1.3,58,3
2017,1,1,0,15,18,0,0,0,0,12,0,0,0,0,0.241,68.12,116.71000000000001,0.04,1015,1.3,60,3.1
2017,1,1,0,30,17.900000000000002,0,0,0,0,12,0,0,0,0,0.241,68.55,113.42,0.04,1015,1.3,61,3.1
2017,1,1,0,45,17.900000000000002,0,0,0,0,11,0,0,0,0,0.241,64.17,110.15,0.04,1015,1.3,62,3.2
2017,1,1,1,0,17.8,0,0,0,0,11,0,0,0,0,0.241,64.64,106.9,0.04,1016,1.3,64,3.3000000000000003
2017,1,1,1,15,17.8,0,0,0,0,11,0,0,0,0,0.241,64.64,103.67,0.04,1016,1.3,64,3.3000000000000003
2017,1,1,1,30,17.7,0,0,0,0,11,0,0,0,0,0.241,65.04,100.47,0.04,1016,1.3,65,3.4000000000000004
2017,1,1,1,45,17.7,0,0,0,0,10.100000000000001,0,0,0,0,0.241,61.06,97.3,0.04,1016,1.3,65,3.5
2017,1,1,2,0,17.7,0,0,0,0,10.100000000000001,0,0,0,0,0.241,61.120000000000005,94.15,0.04,1017,1.3,66,3.6
2017,1,1,2,15,18,0,0,0,0,10.100000000000001,0,0,0,0,0.241,59.980000000000004,91.05,0.04,1017,1.3,66,3.8000000000000003
2017,1,1,2,30,18.3,6,12,7,0,10.100000000000001,6,12,0,7,0.241,58.86,87.7,0.04,1017,1.3,66,4
2017,1,1,2,45,18.7,22,45,26,0,9.3,22,45,0,26,0.241,54.19,84.8,0.04,1017,1.3,67,4.1000000000000005
2017,1,1,3,0,19,45,90,58,0,9.3,45,90,0,58,0.241,53.24,81.87,0.04,1018,1.3,67,4.3
2017,1,1,3,15,19.3,71,136,97,0,9.3,71,136,0,97,0.241,52.25,78.97,0.04,1018,1.3,68,4.3
2017,1,1,3,30,19.700000000000003,96,181,139,0,9.3,96,181,0,139,0.241,50.97,76.12,0.04,1018,1.3,69,4.3
2017,1,1,3,45,20,120,226,184,0,8.4,120,226,0,184,0.242,47.25,73.33,0.04,1018,1.2000000000000002,70,4.2
2017,1,1,4,0,20.400000000000002,141,266,229,2,8.4,119,6,0,121,0.242,46.1,70.62,0.04,1018,1.2000000000000002,70,4.2
2017,1,1,4,15,21,160,302,273,2,8.4,147,34,0,160,0.242,44.44,67.99,0.04,1018,1.2000000000000002,71,4.2
2017,1,1,4,30,21.6,177,334,316,2,8.4,172,59,0,197,0.242,42.84,65.45,0.04,1018,1.2000000000000002,72,4.2
2017,1,1,4,45,22.200000000000003,192,368,358,1,7.6000000000000005,192,368,0,358,0.242,39.13,63.02,0.04,1018,1.2000000000000002,73,4.2
2017,1,1,5,0,22.8,205,394,398,1,7.6000000000000005,205,394,0,398,0.242,37.730000000000004,60.7,0.04,1018,1.2000000000000002,74,4.2
2017,1,1,5,15,23.3,216,417,434,1,7.6000000000000005,216,417,0,434,0.242,36.61,58.52,0.04,1018,1.2000000000000002,74,4.1000000000000005
